Front (English),Back (Chinese),Pinyin,Example,Example pinyin,Example English
almost; about the same,差不多,chàbuduō,我们差不多准备好了。,Wǒmen chàbuduō zhǔnbèi hǎo le.,We're just about ready.
to plan to; a plan,打算,dǎsuàn,你周末打算做什么？,Nǐ zhōumò dǎsuàn zuò shénme?,What are you planning to do this weekend?
to regret,后悔,hòuhuǐ,我有点后悔昨天说的话。,Wǒ yǒudiǎn hòuhuǐ zuótiān shuō de huà.,I kind of regret what I said yesterday.
reliable; legit (colloquial),靠谱,kàopǔ,这个人挺靠谱的。,Zhège rén tǐng kàopǔ de.,This guy is pretty reliable.
trouble; troublesome; to bother (someone),麻烦,máfan,麻烦你帮我看一下这个。,Máfan nǐ bāng wǒ kàn yíxià zhège.,Could I trouble you to take a look at this?
actually; in fact,其实,qíshí,其实我不太喜欢咖啡。,Qíshí wǒ bú tài xǐhuan kāfēi.,"Actually, I don't really like coffee."
by the way; while you're at it,顺便,shùnbiàn,你去超市的时候，顺便帮我买点牛奶。,"Nǐ qù chāoshì de shíhou, shùnbiàn bāng wǒ mǎi diǎn niúnǎi.","When you go to the supermarket, grab me some milk while you're at it."
smooth; going well; without a hitch,顺利,shùnlì,希望你面试顺利。,Xīwàng nǐ miànshì shùnlì.,Hope your interview goes smoothly.
familiar with; to know well,熟悉,shúxī,我对这个城市还不太熟悉。,Wǒ duì zhège chéngshì hái bú tài shúxī.,I'm not very familiar with this city yet.
efficiency,效率,xiàolǜ,用这个工具效率高多了。,Yòng zhège gōngjù xiàolǜ gāo duō le.,Using this tool is way more efficient.
habit; to be used to,习惯,xíguàn,我还没习惯这里的天气。,Wǒ hái méi xíguàn zhèlǐ de tiānqì.,I'm not used to the weather here yet.
to be worth it; worthwhile,值得,zhídé,这部电影值得看两遍。,Zhè bù diànyǐng zhídé kàn liǎng biàn.,This movie is worth watching twice.
